text,intent,lang
cuanto cuesta un pasaje a arequipa con avianca?,comprar_vuelo,es
Do you have rooms available in Bogota this weekend?,reservar_hotel,en
quiero una consulta de ginecologia pa mi hijo urgente ❤️,agendar_cita_medica,es
"I want to set up a company, what do I need? hi",constituir_empresa,en
i was overcharged and i want 2 complain,reclamo,en
"Muy amale, que tenga buen dia",despedida,es
"Ok gracias, bye 👍",despedida,es
Busco un hostal economico en Medellin ✈️,reservar_hotel,es
Cuanto cuesta crear una EIRL? 🍕,constituir_empresa,es
necesito el estado de mi envo urgente,seguimiento_pedido,es
cuanto demora registrar una srl?,constituir_empresa,es
Necesito un vuelo ida y vuelta a Cusco 😀,comprar_vuelo,es
que peudo tomar si tengo dolor de espalda? 🏨,consultar_medicina,es
que dosis de amoxicilina debo tomar? urgente 😊,consultar_medicina,es
"nos vemos, cuidate porfa",despedida,es
"Me duele mucho, tengo fiebre alta, q medicamento tomo? 😊",consultar_medicina,es
quisiera hacer una reserva en un hotel cerca del centro,reservar_hotel,es
Cuanto cuesta una habitacion doble en Santiago?,reservar_hotel,es
i cant log into my account,soporte_tecnico,en
cuanot cuesta una consulta de traumatologia? por favor,consultar_medicina,es
necesito una cconsulta de cardiologia,consultar_medicina,es
que documentos piden para constituir una sac? hola,constituir_empresa,es
necesito el estado dde cuenta de este mes urgente,consulta_banca,es
i was overcharged and i want to complain,reclamo,en
quiero comprar un vuelo a bogota ❤️,comprar_vuelo,es
el omeprazol sirve para dolor de cabeza? hola 😊,consultar_medicina,es
Me reservan una habitacion en Ciudad de Mexico del 10 al 15? ✈️,reservar_hotel,es
"hola, buenas noches",saludo,es
Hay vuelos a Arequipa para el sabdo?,comprar_vuelo,es
i need a orthopedics consultation 🙌,consultar_medicina,en
Quiero agendar una cita con oftalmologia 😊,agendar_cita_medica,es
cuanto cuesta la pizza vegetariana familiar? urgente,comprar_pizza,es
the system gives me an error loading the page 😀,soporte_tecnico,en
Id like to make a reservation at a 4 star hotel,reservar_hotel,en
Donde esta mi pedido? 🙏,seguimiento_pedido,es
busco un hostal economico en piura,reservar_hotel,es
quiero una consulta de odontologia para mi hijo,agendar_cita_medica,es
donde esta mi pedido? 🙌,seguimiento_pedido,es
"Quiero pagar mi tarjeta, cuanto debo? ❤️",consulta_banca,es
cual es e saldo de mi cuenta? 😊,consulta_banca,es
se me congela la pantalla en la aplicacion,soporte_tecnico,es
deseo presentar una queja formal por mi pedido,reclamo,es
el boton de pago no responde en la web,soporte_tecnico,es
I need a gynecology consultation,consultar_medicina,en
Quiero consultar los movimientos de mi cuenta,consulta_banca,es
"Ok thank you, bye ✈️",despedida,en
Me pueden dar el tracking de mi oorden?,seguimiento_pedido,es
id like to schedule a gynecology visit in miami 🙏,agendar_cita_medica,en
Necesio un hotel boutique para 3 noches en Arequipa,reservar_hotel,es
necesito el estado de cuenta de este mes,consulta_banca,es
cuantas veces al dia debo tomar naproxeno? urgente,consultar_medicina,es
busco un hotel cerca del centro economico en trujillo 👍,reservar_hotel,es
o que posso tomar se tenho dor de garganta?,consultar_medicina,pt
"Saludos, buenos dia a todos",saludo,es
i want to buy a flight to sao paulo,comprar_vuelo,en
cuantas veces al dia debo tomar amoxicilina? por favor,consultar_medicina,es
Necesito un hotel boutique para 3 noches en Lima,reservar_hotel,es
quisiera reservar un vuelo con latam a lima porfa 😊,comprar_vuelo,es
"Mi paquete aun no llega, donde esta? gracias",seguimiento_pedido,es
quanto custa uma consulta de pediatria? 🏨,consultar_medicina,pt
cuanto cuesta una consulta de dermatologia?,consultar_medicina,es
"Gostaria de abrir uma startup, por onde comeco?",constituir_empresa,pt
"Listo, hasta pronto 😊",despedida,es
"tengo dolor de espalda desde ayer, que hago? 😀",consultar_medicina,es
"hola, buenas noches urgente 🏨",saludo,es
How much is a pediatricss consultation? hi,agendar_cita_medica,en
quiero reservar un hotel cerca del centro en ciudad de mexico,reservar_hotel,es
"Saldos, buenos dias a todos",saludo,es
quiero formalizar mi negocio y sacar ruc para una srl 🙏,constituir_empresa,es
the app is very slow and wont load,soporte_tecnico,en
"la laptop que compre no funciona, exijo solucion",reclamo,es
como registro um pequeno negocio em lima?,constituir_empresa,pt
preciso de uma consulta de dermatologia esta semana,agendar_cita_medica,pt
Me pueden dar el tracking de mi orden?,seguimiento_pedido,es
"buenas, hay alguin?",saludo,es
Tem pizza quatro queijos? quero pedir uma,comprar_pizza,pt
mi cuenta no funcionaa urgente,consulta_banca,es
hay disponibilidad en un hostal para el vierrnes? hola,reservar_hotel,es
My account is not working asap,consulta_banca,en
como registro una sac en santiago? 🍕,constituir_empresa,es
"The product arrived broken, I want a refund asap",reclamo,en
que dosis de naproxeno debo tomar?,consultar_medicina,es
necesito una consulta de dermatologia,agendar_cita_medica,es
Haganme delivery de una pizza criolla porfa,comprar_pizza,es
i want to buy a flight to miami,comprar_vuelo,en
Quanto custa a pizza veggetariana grande?,comprar_pizza,pt
Quanto tenho na minha conta poupanca?,consulta_banca,pt
tienen habitaciones disponibles en piura paa el finde?,reservar_hotel,es
Olvide mi contrasena y no puedo recuperarla hola,soporte_tecnico,es
my app account is not working,soporte_tecnico,en
"Quiero un reembolso, el audifono vino defectuoso hola",reclamo,es
"obrigado ela ajuda, adeus obrigado 😊",despedida,pt
"Mi paquete aun no llega, donde esta?",seguimiento_pedido,es
hay disponibilidad en un hotel cerca del centro para el viernes?,reservar_hotel,es
tienen disponibilidad para una consulta de pediatria? porfa,agendar_cita_medica,es
quisiera reservar un vuelo con avianca a cusco,comprar_vuelo,es
"quisiera abrir una eirl, por donde empiezo?",constituir_empresa,es
"ok muchas gracias, chau hola 🙌",despedida,es
es seguro tomar aspirina para dolor de garganta?,consultar_medicina,es
como registro una empresa de servicios en quito?,constituir_empresa,es
"el teclado que compre no funcioona, exijo solucion",reclamo,es
"oi, tudo certo?",saludo,pt
"ok muchas gracis, chau",despedida,es
quiero una consulta de odontologia para mi hijo,consultar_medicina,es
"Tengo dolor de garganta, que me recomiendan?",consultar_medicina,es
deseo una pizza criolla grande conn extra queso hola,comprar_pizza,es
Preciso do status do meu envio 😀,seguimiento_pedido,pt
"que tal, buen dia",saludo,es
how do i register a startup in madrid?,constituir_empresa,en
quiero una consulta de pediatria para mi hijo,agendar_cita_medica,es
tienen pizza pepperoni? quiero pedir una,comprar_pizza,es
Quiero comprar un vuelo a Medellin urgente,comprar_vuelo,es
no me deja iniciar sesion en mi cuenta,consulta_banca,es
la app se cierra sola cada vez que la abro,soporte_tecnico,es
"im very upset, the service was terrible thanks 😊",reclamo,en
"Me antojo una catro quesos, tienen promo?",comprar_pizza,es
Cuanto cuesta una consulta de oftalmoogia?,agendar_cita_medica,es
deseo comprar dos boletos a lima,comprar_vuelo,es
quantas vezes ao ddia devo tomar ibuprofeno? 🙌,consultar_medicina,pt
"Perfeito, ate mais por favor 🏨",despedida,pt
what documents are required to register an llc?,constituir_empresa,en
cuanto cuesta una consulta de ginecologia?,agendar_cita_medica,es
What documents are required to register an LLC?,constituir_empresa,en
quisiera reservar un vuelo con latam a arequipa,comprar_vuelo,es
deseo comprar dos boletos  piura,comprar_vuelo,es
"Ola, boom dia",saludo,pt
Im not getting the verification code please,soporte_tecnico,en
busco vuelos baratos a ciudad de mexic urgente,comprar_vuelo,es
necesito ayuda pa formalizar mi startuup,constituir_empresa,es
"Perfeco, nos vemos",despedida,es
mi cuetna me da error,soporte_tecnico,es
How much is a gynecology consultation? hi,agendar_cita_medica,en
"Quiero un reembolso, el audifono vino defectuoso gracias",reclamo,es
i need a round trip flight to cancun,comprar_vuelo,en
cuanto cuesta una consluta de dermatologia? 😀,agendar_cita_medica,es
Can you help me start a small business? hi,constituir_empresa,en
ya pague pero noo se cuando llega mi pedido,seguimiento_pedido,es
Que documentos piden para constituir una SAC?,constituir_empresa,es
Cuanto falta pa q llegue mi compra? hola,seguimiento_pedido,es
como solicito un aumento de linea de credito?,consulta_banca,es
"saludos, buenos dias a todos",saludo,es
cuanto cuesta una consulta de cardiologia? gracias ✈️,consultar_medicina,es
"gracias por la ayuda, adios",despedida,es
"ok muchas gracias, chau urgente ❤️",despedida,es
No puedo entrar a mi cuenta,consulta_banca,es
how much is a large marghrita pizza?,comprar_pizza,en
"Me antojo una de peperoni, tienen promo?",comprar_pizza,es
cuanto tengo disponible en mi cuenta de ahorros?,consulta_banca,es
is there availability at a 4 star hotel for friday?,reservar_hotel,en
Quisiera reservar una cita de ginecologia en Lima,agendar_cita_medica,es
cuanto cuesta un pasaje a arequipa con sky? 🙏,comprar_vuelo,es
"Necesito ver a un especialista en cardiologia, hay citas? 🙌",agendar_cita_medica,es
"My package hasnt arrived yet, where is it?? hi",seguimiento_pedido,en
Id like a veggie pizza for pickup,comprar_pizza,en
"The product arrived broen, I want a refund please",reclamo,en
my account is not working please ❤️,soporte_tecnico,en
Quiero rastrear mi orden numero 4821,seguimiento_pedido,es
"oi, tudo certo? 🙏",saludo,pt
cuanto cuesta la pizza cuatro quesos familiar?,comprar_pizza,es
Cuando llega mi pedido de la television?,seguimiento_pedido,es
necesito un hotel cerca del centro pa 3 noches en medellin,reservar_hotel,es
Is there availabilit at a hostel 4 friday? 😀,reservar_hotel,en
how much is a cardiology consultation?,agendar_cita_medica,en
"Perfect, goodbye",despedida,en
hay vuelos a bogota para el sabado?,comprar_vuelo,es
can i get a margherita pizza with extra cheese?,comprar_pizza,en
"Ok gracias, bye 😊",despedida,es
Cuanto cuesta una habitacion doble en Trujillo?,reservar_hotel,es
"Hi, is anyone there? 👍",saludo,en
"i want to pay my card, how much do i owe? please",consulta_banca,en
the system gives me an error loading the page thanks,soporte_tecnico,en
quanto custa um quarto duplo em bogota? 🍕,reservar_hotel,pt
necesito una consulta de cardiologia gracias,agendar_cita_medica,es
tem quartos disponiveis em sao paulo no fim de semana?,reservar_hotel,pt
"perfect, goodbye",despedida,en
tem quartos disponiveis em santiago no fim de semana?,reservar_hotel,pt
"ok thank you, bye thaks",despedida,en
quiero comprar una pizza vegetariana ahora,comprar_pizza,es
quiero una consulta de oftalmologia para mi hijo 😊,agendar_cita_medica,es
quiero comprar un vuelo a lima urgente,comprar_vuelo,es
deseo reservar un hotel cerca del centro con desayyuno incluido,reservar_hotel,es
How much is a double room in Lima? ❤️,reservar_hotel,en
como bloqueo mi tarjeta de credito? por favor,consulta_banca,es
Cuanto cuesta crear mi negocio? 🙌,constituir_empresa,es
Good morning everyone,saludo,en
gostaria de agendar uma consulta de ginecologia em santiago,agendar_cita_medica,pt
Are there flights to Santiago on saturday?,comprar_vuelo,en
Necesito el estado de mi envoi,seguimiento_pedido,es
"hol,a buenos dias 🍕",saludo,es
"Buenas, hay aluien?",saludo,es
quiero consultar los movimientos de mi cuenta,consulta_banca,es
"buenas, un gusto saludarlos",saludo,es
"gostaria de abrir um pequeno negocio, por onde comeco?",constituir_empresa,pt
"el celular que compre no funciona, exijo solucion",reclamo,es
necesito un hotel cerca del centro para 3 noches en cusco,reservar_hotel,es
do u have rooms available in lima this weekend?,reservar_hotel,en
i need a pediatrics consultation,agendar_cita_medica,en
"Buenaas, hay alguien? 🙏",saludo,es
no puedo iniciar sesion en la aplicacion por favor,soporte_tecnico,es
"Eso seria todo, gracias y chau",despedida,es
quisiera hacer una reserva en un resort,reservar_hotel,es
"Buenas, hay aguien? hola 🏨",saludo,es
me pueden dar el tracking de mi orden? 🏨,seguimiento_pedido,es
el sistema me da error al cargar la pagina 👍,soporte_tecnico,es
quiero pedir un pizza americana,comprar_pizza,es
me consigues un pasaje a arequipa para manana? urgente,comprar_vuelo,es
quero agendar uma consulta de dermatologia obrigado,agendar_cita_medica,pt
cuanto cuesta la pizza vegetariana familiar? porfa,comprar_pizza,es
quiero una consulta de traumatologia para mi hijo,agendar_cita_medica,es
Cuanto cuesta una consulta de dermatologia?,agendar_cita_medica,es
"quiero un reembolso, la laptop vino defectuoso porfa",reclamo,es
hay disponibilidad en un hotel boutique para el viernes?,reservar_hotel,es
im looking for cheap flights to sao paulo,comprar_vuelo,en
How much does it cost to create a strtup? 🍕,constituir_empresa,en
Cuanto cuesta una consulta de odontologia?,consultar_medicina,es
Deseo una pizza napoitana grande con extra queso 😀,comprar_pizza,es
Hey hola hola,saludo,es
la app se cierra sola cada vez que la abro 🙌,soporte_tecnico,es
Deseo presentar una queja formal por mi pedido,reclamo,es
Deseo presentar una queja formal porr mi pedido,reclamo,es
cuanto tengo disponible en mi cuenta ed ahorros? hola,consulta_banca,es
Quiero una consulta de oftalmologia pa mi hijo,agendar_cita_medica,es
no puedo acceder a mi cuenta porfa,consulta_banca,es
do you have availability for  cardiology appointment?,agendar_cita_medica,en
My account is not working hi,soporte_tecnico,en
Me pueden ddar hora con el doctor de traumatologia? 🍕,agendar_cita_medica,es
quanto custa uma consulta de dermatologia?,agendar_cita_medica,pt
"Alright, see you soon",despedida,en
me consigues un pasaje a bogota para manana?,comprar_vuelo,es
como bloqueo mi tarjeta de credito?,consulta_banca,es
Quanto custa criar um pequeno negocio? por favor,constituir_empresa,pt
No puedo acceder a mi cuenta por favor,soporte_tecnico,es
Quisiera ordenar dos pizzas hawaiana,comprar_pizza,es
Voces entregam pizza portuguesa m Brasilia?,comprar_pizza,pt
cuntas veces al dia debo tomar loratadina?,consultar_medicina,es
can i book a slot with the gynecology doctor? ✈️,agendar_cita_medica,en
cuanto cuesta una consulta de pediatria? 👍,agendar_cita_medica,es
"thannks, see u later",despedida,en
"es seria todo, gracias y chau",despedida,es
quisiera ordenar dos pizzas criolla,comprar_pizza,es
"ok gracias, be",despedida,es
quisiera ordenar dos pzzas criolla,comprar_pizza,es
How much is a large veggie pizza?,comprar_pizza,en
me manda una pizza napolitana a ciudad de mexico?,comprar_pizza,es
"perfecto, nos vemos gracias",despedida,es
"me antojo una ed peperoni, tienen promo?",comprar_pizza,es
necesito una cita medica de odontologia para esta semanna,agendar_cita_medica,es
"Tengo fiebre alta desde ayer, q hago? 🙌",consultar_medicina,es
Hay disponibilidad en un resort para el viernes? gracias,reservar_hotel,es
quanto custa uma consulta de carddiologia? urgente,agendar_cita_medica,pt
im very upset the service was terrible 👍,reclamo,en
how do i block my credit cardd?,consulta_banca,en
cuanto cuesta una consulta de dermatologia? 😀,agendar_cita_medica,es
Meu pedido nunca chegou e quero reclamar 😊,reclamo,pt
Do u have veggie pizza? I want to order one,comprar_pizza,en
"la television que compre no funciona, exijo solucion",reclamo,es
Me manda una pizza napolitana a Cusco? ❤️,comprar_pizza,es
mi cuenta no funciona,soporte_tecnico,es
"gracias, hasta luego",despedida,es
necesito una cita medica de traumatologia pa esta semana,agendar_cita_medica,es
"Quiero pooner un reclamo, la television llego danado 🏨",reclamo,es
cual es el saldo de mi cuenta?,consulta_banca,es
quisiera ordenar dos pizzzas hawaiana,comprar_pizza,es
when does my the headphones order arrive?,seguimiento_pedido,en
i want to track my order number 4821,seguimiento_pedido,en
I forgot my password and cant reset it please 😀,soporte_tecnico,en
"saludos, buenos dias a todos 👍",saludo,es
"Thanks, see you later 🏨",despedida,en
"pizza criolla para llevar, cuanto seria?",comprar_pizza,es
cuanto cuesta un pasaje a boogta con sky? por favor,comprar_vuelo,es
voces entregam pizza vegetariana em lisboa? por favor,comprar_pizza,pt
how much is a large pepperoni pizza?,comprar_pizza,en
Quiero una consulta de odontologia para mi hijo hola,consultar_medicina,es
me manda una pizza americana a quito? urgente,comprar_pizza,es
"Mi pedido dice en camino hace 3 disa, que paso? urgente",seguimiento_pedido,es
que documentos piden paar constituir una eirl?,constituir_empresa,es
quiero comprar un vuelo a quito,comprar_vuelo,es
Quisiera hacer una reserva en un hotel boutique por favor,reservar_hotel,es
"o fone que comprei nao funciona, exijo solucao por favor",reclamo,pt
"Nos vemos, cuidate porfa 👍",despedida,es
"quero fazer uma reclamacao, os tenis chegou danificado 🏨",reclamo,pt
i would like two four cheese pizzas,comprar_pizza,en
"Buenas, un gusto saludarlos ❤️",saludo,es
cuanto cuesta un pasaje a ciudad de mexico con sky?,comprar_vuelo,es
deseo comprar dos boletos a quito,comprar_vuelo,es
Cuanto demora registrar una SAC?,constituir_empresa,es
preciso de ajuda pa formalizar uma startup,constituir_empresa,pt
how much is a double room in cancun?,reservar_hotel,en
"gracias, hasta la proxima por favor",despedida,es
mi cuenta esta bloqueada gracias,consulta_banca,es
"Pesimo servicio, quiero hablar con un supervisor gracias",reclamo,es
La app sse cierra sola cada vez que la abro,soporte_tecnico,es
I cant log into my account please,consulta_banca,en
"pesimo servicio, quiero hablar con un supervisor 🙌",reclamo,es
Quisiera ordenar dos pizzas americana,comprar_pizza,es
o app fecha sozinho quando abro,soporte_tecnico,pt
deseo comprar dos boletos a trujillo,comprar_vuelo,es
Cuando llega mi pedido de el teclado?,seguimiento_pedido,es
no puedo iniciar sesion en la aplicacion 🙌,soporte_tecnico,es
"Eso seria todo, gracias y chau urgente",despedida,es
"Gracias x la ayuda, adios porfa",despedida,es
"mi paquete aun no llega, donde esta? ❤️",seguimiento_pedido,es
deseo agendar control con odontologia pa el lunes porfa,agendar_cita_medica,es
"El producto llego roto, quiero mi devolucion porfa",reclamo,es
Necessito ayuda pa formalizar mi startup,constituir_empresa,es
quiero consultar los movimienntos de mi cuenta ✈️,consulta_banca,es
what is the balance of my account? please,consulta_banca,en
"hola, como va todo? por favor ✈️",saludo,es
"buenas tardes, como estann?",saludo,es
Necesito ayuda pa formalizar mi startup ❤️,constituir_empresa,es
"Hey, good evening",saludo,en
"eso seria todo, gracias y chau",despedida,es
Mi cuenta no funciona 👍,soporte_tecnico,es
ya pague pero no se cuando llega mi pedido 😀,seguimiento_pedido,es
cuanto cuesta crear una empresa de servicios?,constituir_empresa,es
"pesimo servicio, quiero hablar con un supervisor gracias",reclamo,es
Mi cuenta me da error,consulta_banca,es
"Ola,, bom dia por favor 🏨",saludo,pt
"hello, how is it going? please",saludo,en
me pueden asesorar para constituir mi startup en lima?,constituir_empresa,es
O que posso tomar se tenho gripe?,consultar_medicina,pt
que dosis de aspirina debo tomar?,consultar_medicina,es
haaganme delivery de una pizza de peperoni porfa,comprar_pizza,es
Quero reservar um hotel 4 estrelas em Bogota,reservar_hotel,pt
cuanto cuesta una consulta de odontologia? hola,agendar_cita_medica,es
"consulat de ginecologia, cuanto seria?",consultar_medicina,es
"Saludos, buenos dias a todos",saludo,es
cuanto cuesta la pizza vegetariana familiar?,comprar_pizza,es
necesito un hotel 4 estrellas para 3 noches en santiago,reservar_hotel,es
"Gracias por la ayuda, adios",despedida,es
necesito un hostal pa 3 noches en ciudad de mexico hola,reservar_hotel,es
como bloqueo mi tarjeta de credito? urgnete,consulta_banca,es
i need help incorporating a small business,constituir_empresa,en
no em deja iniciar sesion en mi cuenta,soporte_tecnico,es
Cotizame un vuelo a Piura een Copa 🍕,comprar_vuelo,es
"Perfect, goodbye 😀",despedida,en
Quisiera ordenar dos pizzas pepperoni,comprar_pizza,es
me manda una pizza criolla a santiago? 🙏,comprar_pizza,es
que dosis de loratadina debo tomar?,consultar_medicina,es
i forgot my password and cant reset it asaap,soporte_tecnico,en
Hello theere,saludo,en
id like to schedule a dermatology visit in sao paulo please,agendar_cita_medica,en
Quiero formalizar mi negocio y sacar RUC para una empresa de servicios,constituir_empresa,es
"Consulta de oftalmologia, cuanto seria? 🙏",agendar_cita_medica,es
necesito un vuelo ida y vuelta a santiago,comprar_vuelo,es
"i want to file a complaint, the tv arrived damaged",reclamo,en
Quiero formalizar mi negocio y sacar RUC para una SRL,constituir_empresa,es
quanto custa a pizza portuguesa grande?,comprar_pizza,pt
quantas vezes ao dia devo tomar ibuprofeno?,consultar_medicina,pt
quiero comprar una pizza pepperoni ahora,comprar_pizza,es
"perfecto, nos vemos",despedida,es
Cotizame un vuelo a Arequipa en LATAM urgente,comprar_vuelo,es
Quero consultar os movimentos da minha conta obrigado,consulta_banca,pt
Does ibuprofen help with back pain?,consultar_medicina,en
"Ok thank you, bye",despedida,en
quisiera hacer una reserva en un resort ✈️,reservar_hotel,es
"Quisiera abrir una EIRL, por donde empezo? 👍",constituir_empresa,es
Quiero pedir una pizza cuatro quesos porfa,comprar_pizza,es
"Tengo dolor de cabeza, que me recomiendan?",consultar_medicina,es
Me manda una pizza cuatro quesos a Lima?,comprar_pizza,es
"quiero poner un reclamo, la television llego danado",reclamo,es
"Quiero poner un reclamo, la impresora llego danado",reclamo,es
necesito el estado de mi envio hola,seguimiento_pedido,es
"gracias x la ayuda, adios 👍",despedida,es
"quiero un reembolso, el teclado vino defectouso 🏨",reclamo,es
el sistema m da error al cargar la pagina por favor,soporte_tecnico,es
"eso seria todo, gracias y hcau",despedida,es
Tienen habitaciones disponibles en Areqipa pa el finde?,reservar_hotel,es
Miinha conta do app nao funciona,soporte_tecnico,pt
"Hola, como va todo?",saludo,es
no puedo inciiar sesion en la aplicacion gracias,soporte_tecnico,es
hola que tal porfa,saludo,es
"the keyboard I bought doesnt work, I demand a solution",reclamo,en
"Hola, buenos dias",saludo,es
"Quisiera abrir mi negocio, por donde empiezo?",constituir_empresa,es
quiero comprar una pizza napolitana ahora por favor ❤️,comprar_pizza,es
Cotizame un vuelo a Piura en Copa,comprar_vuelo,es
quisiera reservar una cita de cardiologia en lima 🍕,agendar_cita_medica,es
Como registro una SAC en Cusco? 🍕,constituir_empresa,es
"Tengo dolor de espalda desde ayer, que hago?",consultar_medicina,es
"mi pedido dice en camino hace 3 dis, que paso?",seguimiento_pedido,es
Minha conta nao funciona obrigado ✈️,consulta_banca,pt
Nao consigo fazer login no aplicativo,soporte_tecnico,pt
Can you deliver a bbq chicken pizza 2 Madrid? 😊,comprar_pizza,en
mi cuenta esta bloqueada urgente,consulta_banca,es
Is ti safe to take omeprazole for a dry cough?,consultar_medicina,en
"thanks for the help, bye asap",despedida,en
"tengo dolor de cabeza desde ayer, q hago?",consultar_medicina,es
deseo presentar una queja formal por im pedido,reclamo,es
quiero pedir una pizza de peperoni ✈️,comprar_pizza,es
"Gracias, hasta luego gracias",despedida,es
mi pedido nunca llego y quiero reclamar por favor,reclamo,es
How much is a ticket 2 New YYork with American?,comprar_vuelo,en
Que puedo tomar si tengo fiebre alta?,consultar_medicina,es
que puedo tomar si tengo fibre alta?,consultar_medicina,es
hola que tal,saludo,es
no puedo entrar a mi cuenta,consulta_banca,es
Ya pague pero no se cuando llega mi pedido 👍,seguimiento_pedido,es
Quiero sabe el limite de mi tarjeta,consulta_banca,es
"saludos, bueenos dias a todos",saludo,es
i need a hostel for 3 nights in miami,reservar_hotel,en
Quisiera reservar una cita de traumatologia en Medellin hola 👍,agendar_cita_medica,es
"gracias, hasta luegoo 👍",despedida,es
"Quisiera abrir una SRL, por donde empiezo? hola",constituir_empresa,es
cuanto demora registrar una eirl?,constituir_empresa,es
"El producto llego rroto, quiero mi devolucion ❤️",reclamo,es
"quiero poner un reclamo, la television llego dañado",reclamo,es
haganme delivery de una pizz hawaiana porfa 🍕,comprar_pizza,es
"gracias, hasta la proxima porfa 👍",despedida,es
Mi cuenta de la app no funciona porfa 🙌,soporte_tecnico,es
i needd the status of my shipment,seguimiento_pedido,en
nao consigo transferir dinheiro da minha conta,consulta_banca,pt
Ya pague pero no se cuanod llega mi pedido,seguimiento_pedido,es
deseo reservar un hotel boutique con desayuno incluido,reservar_hotel,es
Deseo inscribir una EIRL en registros publicos 🏨,constituir_empresa,es
"listo, hastaa pronto",despedida,es
Necesito un hostal para 3 noches en Quito 🙌,reservar_hotel,es
"i want to file a complaint, the laptop arrived damaged hi",reclamo,en
"tengo dolor de garganta desde ayer, que hago?",consultar_medicina,es
Cuanto falta para que lleggue mi compra?,seguimiento_pedido,es
Do you have rooms available in Sao Paulo this weekend?,reservar_hotel,en
"the product arrived broken, i want a refund thanks",reclamo,en
me reservan una habitacion en ciudad de mexico del 10 al 15? ✈️,reservar_hotel,es
Cuanto falta para q llegue mi compra?,seguimiento_pedido,es
ya pague pero no se cuando llega mi pedido 🙏,seguimiento_pedido,es
haganme delivery de una pizza criolla porfa,comprar_pizza,es
"El producto llego roto, quiero mi devolucion gracias",reclamo,es
Deseo agendar control con odontologia pa el lunes,agendar_cita_medica,es
"Quisiera abrir una SAC, por donde empiezo?",constituir_empresa,es
"eso seria todo, gracisa y chau hola",despedida,es
Gostaria de fazer uma reserva em um hotel 4 estrelas,reservar_hotel,pt
the system gives me an error loading the page ❤️,soporte_tecnico,en
where is my order? asap ❤️,seguimiento_pedido,en
Me consigues un pasaje a Quito para manana?,comprar_vuelo,es
la app se cierra sola cada vez que la abro 🍕,soporte_tecnico,es
como bloqueo mi tarjeta de credito? 😀,consulta_banca,es
Cuanto demora registrar una empresa de servicios?,constituir_empresa,es
"Quiero un rembolso, la laptop vino defectuoso",reclamo,es
Me consigues un psaaje a Lima para manana? 🙌,comprar_vuelo,es
i want to buy a light to new york ❤️,comprar_vuelo,en
tienen habitaciones disponibles en ciudad de mexico para el finde? ❤️,reservar_hotel,es
"pesimo servicio, quiero hablar con un sueprvisor",reclamo,es
me cobraron de mas y quiero un reclamo 🙌,reclamo,es
Quiero una consulta de pediatria para mi hijo,consultar_medicina,es
"listo, hasta pronto",despedida,es
i need help incorporating a startup,constituir_empresa,en
how much does it cost to create an llc?,constituir_empresa,en
mi cuenta etsa bloqueada hola,soporte_tecnico,es
Como bolqueio meu cartao de credito?,consulta_banca,pt
Deseo agendar control con dermatologia para el lunes 🙌,agendar_cita_medica,es
